Page Rank, d=1.00

File: NCAA_football.csv
Read Time:       1061.579ms
Processing Time: 300.504ms
N Iterations:    382

 Rank                        Node     PageRank
  178                     Cornell 4.070769e-14
  179                Pennsylvania 3.867878e-14
  180                     Fordham 3.758301e-14
  181            Coastal Carolina 3.551993e-14
  182                      Albany 3.241617e-14
  183 Virginia Military Institute 3.137270e-14
  184                     Hofstra 2.958228e-14
  185            Western Carolina 2.525412e-14
  186              Morehead State 2.353731e-14
  187            Eastern Kentucky 2.323727e-14
  188            Georgia Southern 2.320129e-14
  189     North Carolina Pembroke 2.155653e-14
  190                    Duquesne 2.030704e-14
  191                    Davidson 1.985590e-14
  192                   Princeton 1.924834e-14
  193             Tennessee State 1.828494e-14
  194                    Delaware 1.612922e-14
  195            Tennessee-Martin 1.524396e-14
  196          Jacksonville State 1.485206e-14
  197                    Bucknell 1.167722e-14
  198                      Towson 9.922822e-15
  199                    Monmouth 9.247803e-15
  200               Robert Morris 8.799833e-15
  201                     Samford 8.499105e-15
  202              Tennessee Tech 7.913808e-15
  203                 Austin Peay 7.481517e-15
  204                       Drake 7.364951e-15
  205                Murray State 7.213938e-15
  206            Western Kentucky 7.069332e-15
  207                    Columbia 7.012211e-15
  208   Central Connecticut State 6.450880e-15
  209                     Citadel 6.215817e-15
  210                      Butler 5.955642e-15
  211    Southeast Missouri State 5.583747e-15
  212                 Florida A&M 5.302316e-15
  213                Sacred Heart 5.215215e-15
  214           Bryant University 4.605081e-15
  215                      Marist 4.132314e-15
  216        South Carolina State 3.170382e-15
  217                  Valparaiso 2.931713e-15
  218                Morgan State 2.292569e-15
  219              Delaware State 2.157977e-15
  220                      Rhodes 1.911606e-15
  221                    Franklin 1.231086e-15
  222                     Hampton 8.465624e-16
  223             Bethune-Cookman 7.308258e-16
  224                 North Texas 7.306479e-16
  225                      Wagner 6.208437e-16
  226                  Georgetown 6.112137e-16
  227               Winston-Salem 5.478003e-16
  228               Norfolk State 4.750160e-16
  229                      Marian 3.787575e-16
  230            St. Francis (IL) 3.787575e-16
  231      North Carolina Central 9.487293e-17
  232                        Iona 8.289950e-17
  233                   Stonehill 8.020882e-17
  234          North Carolina A&T 7.185209e-17
  235              Savannah State 7.077210e-17
  236          Fayetteville State 1.400793e-17
  237              Wesley College 1.071005e-17
  238    Mississippi Valley State 1.046962e-17
  239               Edward Waters 1.044946e-17
  240                      Howard 1.044946e-17
  241             Grambling State 5.924445e-18
  242            Prairie View A&M 2.689810e-18
  243         Southern University 2.373449e-18
  244               Jackson State 2.199196e-18
  245                 Alabama A&M 1.898689e-18
  246               Alabama State 1.798441e-18
  247                Alcorn State 1.510252e-18
  248         Arkansas-Pine Bluff 1.372771e-18
  249                    Tuskegee 2.803404e-19
  250         Arkansas-Monticello 1.576468e-19
  251             Henderson State 1.576468e-19
  252              Texas Southern 1.560914e-19
  253                        Pace 0.000000e+00
  254                Missouri S&T 0.000000e+00
  255                    Langston 0.000000e+00
  256          Central Washington 0.000000e+00
  257          Texas A&M-Commerce 0.000000e+00
  258           Southern Virginia 0.000000e+00
  259            North Greenville 0.000000e+00
  260                   Morehouse 0.000000e+00
  261       Southeastern Oklahoma 0.000000e+00
  262                Angelo State 0.000000e+00
  263                    Carthage 0.000000e+00
  264                   Mars Hill 0.000000e+00
  265               Clark Atlanta 0.000000e+00
  266                 Chattanooga 0.000000e+00
  267           Southwest Baptist 0.000000e+00
  268           Central Methodist 0.000000e+00
  269          Western Washington 0.000000e+00
  270        Texas A&M-Kingsville 0.000000e+00
  271                  Assumption 0.000000e+00
  272                     Lambuth 0.000000e+00
  273                     Shorter 0.000000e+00
  274                    Campbell 0.000000e+00
  275                 Adams State 0.000000e+00
  276              Virginia State 0.000000e+00
